id,movie_id,actor_id
39408,10046,6937
97524,10046,887
126194,10046,9960
22401,10047,1
109459,10047,11900
165679,10047,20857
51627,10047,2642
80657,10047,5091
137931,10047,929
97526,10048,20948
68577,10048,2241
126196,10048,26536
154388,10048,32267
39410,10048,3550
9985,10048,611
133340,10049,26537
161246,10049,32268
17688,10049,3918
104799,10049,4161
75969,10049,6555
46929,10049,9847
166166,1005,1116
52131,1005,130
138425,1005,1406
81156,1005,3768
22906,1005,666
109957,1005,9603
113978,10050,10023
170033,10050,12018
26966,10050,1225
56185,10050,3449
85201,10050,3645
142417,10050,5110
27590,10052,103
114598,10052,16717
170640,10052,2294
56808,10052,3647
143033,10052,6164
85822,10052,6962
97532,10054,20949
154394,10054,32269
39416,10054,6647
68583,10054,7903
126202,10054,855
9991,10054,963
154398,10058,15045
126206,10058,381
9995,10058,3919
68587,10058,617
97536,10058,770
39420,10058,9848
71403,1006,12701
156898,1006,14713
128847,1006,23788
42346,1006,3011
100267,1006,3058
13091,1006,667
47679,10060,1812
105542,10060,20950
134072,10060,26538
161949,10060,32270
18441,10060,493
76718,10060,775
142769,10062,10655
85555,10062,1087
114331,10062,13059
27322,10062,3708
170381,10062,464
56540,10062,7324
68592,10063,12754
154403,10063,17069
126211,10063,17159
97541,10063,20951
10000,10063,2948
39425,10063,4035
28410,10064,120
57628,10064,29
171426,10064,549
115414,10064,7888
86642,10064,790
143841,10064,883
68594,10065,118
97543,10065,1788
126213,10065,18397
39427,10065,208
154405,10065,333
10002,10065,963
170410,10066,11289
142799,10066,24098
27352,10066,657
85585,10066,7888
114361,10066,9429
56570,10066,9849
133574,10067,2054
105037,10067,2114
161474,10067,32271
17927,10067,3920
47168,10067,8089
76207,10067,8420
27272,10069,159
114282,10069,223
170332,10069,32272
85506,10069,443
56490,10069,5356
142720,10069,5893
132714,1007,1468
75333,1007,164
160642,1007,1756
104168,1007,396
17048,1007,457
46292,1007,55
10010,10073,1669
39436,10075,3840
10012,10075,3921
126222,10075,5309
68603,10075,6045
154414,10075,8141
97552,10075,9676
